adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
False,,98000000,Action;Adventure,,1408,tt0112760,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le Studio Canal+;Laurence Mark Productions;Metro-Goldwyn-Mayer (MGM);Carolco Pictures,,1995-12-22,10017322,119,en;la,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137,exotic island;treasure;map;ship;scalp;pirate
False,,52000000,Drama;Crime,,524,tt0112641,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Universal Pictures;Légende Entreprises;Syalis DA;De Fina-Cappa,,1995-11-22,116112375,178,en,Released,No one stays at the top forever.,Casino,False,7.8,1343,poker;drug abuse;1970s;overdose;illegal prostitution
False,,4000000,Crime;Comedy,,5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Miramax Films;A Band Apart,,1995-12-09,4300000,98,en,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539,hotel;new year's eve;witch;bet;hotel room;sperm;los angeles;hoodlum;woman director;episode film
False,,18000000,Fantasy;Science Fiction;Adventure,,902,tt0112682,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,Procirep;Constellation Productions;France 3 Cinéma;Claudie Ossard Productions;Eurimages;MEDIA Programme of the European Union;Cofimage 5;Televisión Española (TVE);Tele München Fernseh Produktionsgesellschaft (TMG);Club d'Investissement Média;Canal+ España;Elías Querejeta Producciones Cinematográficas S.L.;Centre National de la Cinématographie (CNC);Victoires Productions;Constellation;Lumière Pictures;Canal+;Studio Image;Cofimage 4;Ossane;Phoenix Images,,1995-05-16,1738611,108,cn;fr,Released,Where happily ever after is just a dream.,The City of Lost Children,False,7.6,308,clone;dream;island;eye;dystopia;aging;friendship;rescue;children;girl;childhood
False,,0,Music;Drama;Family,,2054,tt0113862,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Hollywood Pictures;The Charlie Mopic Company;PolyGram Filmed Entertainment;Interscope Communications,,1995-12-29,106269971,137,en,Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,False,6.9,115,composer;mentor;deaf-mute;musical;apprentice;private life;music;disabled
False,,900000,Drama;Comedy,,880,tt0112379,nl,Antonia,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",2.030174,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,Bergen Film;Bard Entertainments;NPS Televisie,,1995-09-12,0,102,nl,Released,A motion picture that celebrates everything you love about life.,Antonia's Line,False,7.2,26,suicide;underdog;free love;philosophy;rape;mentally disabled;loss of mother;village life;world war ii;feminism;indian summer ;family history;widow;peasant;village;mathematics;freedom;right and justice;single;homosexuality;mother daughter relationship;domestic violence;university;woman director
False,,42000000,Crime;Drama;Science Fiction;Thriller,http://www.strange-days.com,281,tt0114558,en,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",11.223055,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,Lightstorm Entertainment,,1995-10-13,7959291,145,en,Released,You know you want it.,Strange Days,False,6.8,334,pornography;prostitute;rape;police brutality;dream;ex-girlfriend;future;bodyguard;rapper;virtual reality;dystopia;minidisc;police;ex-cop;murder;cyberpunk;los angeles;violence;criminal;private detective;revolt;woman director
False,,2500000,Drama;Romance,,76,tt0112471,en,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,Detour Film Production;Warner Bros.,,1995-01-27,5535405,105,en;de;fr,Released,Can the greatest romance of your life last only one night?,Before Sunrise,False,7.7,984,dialogue;sunrise;talking;soulmates;walking;austria;traveller;danube;bittersweet;romantic;vienna
False,,25000000,Romance;Drama;Comedy,,1909,tt0112883,en,Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",7.438934,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,New Line Cinema;American Zoetrope,,1994-10-01,22200000,97,en,Released,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,Don Juan DeMarco,False,6.3,184,sex addiction;love;mental institution;patient;psychiatrist;don juan
False,,55000000,Drama;Thriller;Crime;Mystery;Romance,,8984,tt0109635,en,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",11.812244,/qbwcjmHnXkeE8l7wNBsdnlrp3J4.jpg,Warner Bros.;Baltimore Pictures,,1994-12-09,214015089,123,en,Released,Sex Is Power.,Disclosure,False,5.9,217,employee;workplace;sexual harassment;intrigue
