userId,itemId,rating
7,293,5.0
7,318,4.0
7,2959,4.5
7,4896,4.5
7,4993,5.0
7,5618,4.0
7,5816,4.5
7,6934,2.0
7,8368,4.0
7,8961,2.5
7,30793,2.5
7,39183,3.0
7,40815,2.5
7,41566,2.0
7,54001,3.0
7,54272,4.0
7,54503,3.5
7,58559,5.0
7,68954,3.0
7,88744,1.5
20,150,4.0
20,161,4.0
20,216,3.5
20,260,4.0
20,296,4.5
20,344,4.0
20,345,4.5
20,364,3.0
20,410,5.0
20,480,4.0
20,551,4.5
20,588,5.0
20,595,3.5
20,780,3.0
20,858,4.5
20,899,4.0
20,911,4.5
20,912,5.0
20,919,4.0
20,920,5.0
20,1265,4.0
20,1485,4.0
20,1566,4.0
20,1573,3.0
20,1580,4.0
20,1588,4.0
20,1682,5.0
20,1688,4.0
20,1732,4.5
20,1907,4.0
20,2010,2.5
20,2078,4.0
20,2087,3.0
20,2124,5.0
20,2141,3.0
20,2291,4.0
20,2294,4.5
20,2355,4.0
20,2617,4.0
20,2657,4.5
20,2687,3.0
20,2701,3.0
20,2959,4.0
20,3033,4.0
20,3034,4.0
20,3114,4.5
20,3159,4.5
20,3176,3.5
20,4728,4.0
20,4886,4.0
20,4896,4.0
20,4973,5.0
20,4979,4.0
20,4993,3.5
20,5481,3.0
20,5618,4.5
20,5816,4.0
20,5902,3.5
20,5971,4.0
20,6283,4.0
20,6440,4.0
20,8368,4.0
20,8464,4.0
20,30793,3.5
20,40815,3.0
20,46578,4.0
20,46976,4.0
20,48385,3.5
20,53121,3.0
20,54001,4.0
20,54272,3.0
20,58559,5.0
20,68954,4.5
20,81847,4.0
20,84954,3.0
20,94959,4.5
50,296,3.0
50,318,4.0
50,480,3.0
50,527,4.0
50,780,2.5
50,858,4.5
50,1213,4.0
50,2959,3.5
73,111,5.0
73,527,5.0
73,593,5.0
73,1089,4.0
73,2028,5.0
73,2333,5.0
73,2762,4.0
73,2841,4.0
106,253,3.5
106,593,4.5
106,1073,3.5
106,1093,4.0
106,1246,4.0
106,1416,2.5
106,1961,4.0
106,1968,4.0
106,2762,3.5
106,2959,3.5
106,4973,5.0
106,4995,3.5
106,44191,4.0
106,48780,4.0
106,53953,4.0
106,54272,3.5
106,58559,4.0
106,68954,4.0
141,318,4.0
141,527,5.0
141,1246,4.0
141,1961,3.5
141,2028,4.0
141,5971,5.0
141,5995,5.0
141,44191,2.0
141,46578,5.0
141,68954,5.0
225,2,4.0
225,3,3.0
225,11,5.0
225,19,2.0
225,21,5.0
225,24,3.0
